36 17
#############   ####################
#...........#   #..................#
#.@.........#   #.####.#######.....#
#...........#   #.#  #.#     #.....#
#...........### #.#  ###     #.....#
#.............# #.#          #.....#
#############.# #.#          #.....#
            #.# #.#          #.....#
#############.# #.###        #.....#
#.............# #...#     ######.###
#.............#####.#     #........#
#...................#     #........#
#...................#     #........#
#...................#     #........#
#...................#     #......###
#...................#     #........#
#####################     ##########
